"year","title","imdb_id","gross_inflation","rank_unadjusted_inflation"
1939,"Gone with the Wind (1939)","tt0031381",7527390000,161
1937,"Snow White and the Seven Dwarfs (1937)","tt0029583",6438000000,182
1942,"Bambi (1942)","tt0034492",3318890000,572
1940,"Pinocchio (1940)","tt0032910",3055880000,747
1961,"101 Dalmatians (1961)","tt0055254",1929130000,277
1977,"Star Wars (1977)","tt0076759",1798520000,8
1955,"Lady and the Tramp (1955)","tt0048280",1628640000,660
1965,"The Sound of Music (1965)","tt0059742",1404060000,244
1956,"The Ten Commandments (1956)","tt0049833",1392000000,820
1953,"Peter Pan (1953)","tt0046183",1267300000,720
1997,"Titanic (1997)","tt0120338",1249080000,3
1959,"Ben-Hur (1959)","tt0052618",1194120000,974
1975,"Jaws (1975)","tt0073195",1103410000,80
1967,"The Jungle Book (1967)","tt0061852",1029500000,316
1965,"Doctor Zhivago (1965)","tt0059113",964752000,505
1964,"Mary Poppins (1964)","tt0058331",954194000,579
1980,"Star Wars: Episode V - The Empire Strikes Back (1980)","tt0080684",937918000,64
2015,"Star Wars: Episode VII - The Force Awakens (2015)","tt2488496",927794000,1
2009,"Avatar (2009)","tt0499549",882760000,2
1994,"The Lion King (1994)","tt0110357",880407000,14
1959,"Sleeping Beauty (1959)","tt0053285",880235000,1392
1983,"Star Wars: Episode VI - Return of the Jedi (1983)","tt0086190",853429000,48
1993,"Jurassic Park (1993)","tt0107290",844783000,19
1939,"The Wizard of Oz (1939)","tt0032138",839739000,2724
1999,"Star Wars: Episode I - The Phantom Menace (1999)","tt0120915",813484000,7
1973,"The Sting (1973)","tt0070735",786441000,257
1956,"Around the World in Eighty Days (1956)","tt0048960",730800000,1694
1972,"The Godfather (1972)","tt0068646",690882000,352
1960,"Swiss Family Robinson (1960)","tt0054357",689176000,1751
1994,"Forrest Gump (1994)","tt0109830",686842000,38
2012,"The Avengers (2012)","tt0848228",680917000,5
1964,"My Fair Lady (1964)","tt0058385",673548000,927
2015,"Jurassic World (2015)","tt0369610",672883000,4
2008,"The Dark Knight (2008)","tt0468569",645836000,6
1950,"Cinderella (1950)","tt0042332",644935000,2055
1969,"Butch Cassidy and the Sundance Kid (1969)","tt0064115",624930000,578
2004,"Shrek 2 (2004)","tt0298148",610821000,11
1984,"Beverly Hills Cop (1984)","tt0086960",608482000,106
2002,"Spider-Man (2002)","tt0145487",604957000,18
1996,"Independence Day (1996)","tt0116629",602308000,49
1970,"Love Story (1970)","tt0066011",594968000,545
1975,"The Rocky Horror Picture Show (1975)","tt0073629",594146000,329
1984,"Ghostbusters (1984)","tt0087332",592946000,111
1963,"Cleopatra (1963)","tt0056937",591600000,1223
1952,"The Greatest Show on Earth (1952)","tt0044672",590943000,1964
1990,"Home Alone (1990)","tt0099785",588227000,67
1946,"The Best Years of Our Lives (1946)","tt0036868",586629000,2629
1941,"Sergeant York (1941)","tt0034167",570720000,3192
1973,"American Graffiti (1973)","tt0069704",565254000,484
2006,"Pirates of the Caribbean: Dead Man's Chest (2006)","tt0383574",561847000,13
1970,"Airport (1970)","tt0065377",561290000,604
1974,"Blazing Saddles (1974)","tt0071230",558289000,451
1989,"Batman (1989)","tt0096895",550050000,90
1961,"West Side Story (1961)","tt0055614",549739000,1629
2003,"Finding Nemo (2003)","tt0266543",549702000,23
1965,"Thunderball (1965)","tt0059800",547842000,1097
1960,"Psycho (1960)","tt0054215",545882000,2173
2003,"The Lord of the Rings: The Return of the King (2003)","tt0167260",543930000,25
1974,"The Towering Inferno (1974)","tt0072308",539679000,477
1945,"The Bells of St. Mary's (1945)","tt0037536",529457000,2787
1978,"Animal House (1978)","tt0077975",527949000,318
1982,"Tootsie (1982)","tt0084805",523776000,207
2004,"Spider-Man 2 (2004)","tt0316654",522560000,26
1953,"The Robe (1953)","tt0046247",522000000,1963
1985,"Back to the Future (1985)","tt0088763",517099000,139
2005,"Star Wars: Episode III - Revenge of the Sith (2005)","tt0121766",515757000,24
2002,"The Lord of the Rings: The Two Towers (2002)","tt0167261",509122000,32
1946,"Duel in the Sun (1946)","tt0038499",507086000,2856
1999,"The Sixth Sense (1999)","tt0167404",503504000,57
1977,"Close Encounters of the Third Kind (1977)","tt0075860",499372000,389
1978,"Superman (1978)","tt0078346",498205000,357
1977,"Smokey and the Bandit (1977)","tt0076729",495471000,405
2012,"The Dark Knight Rises (2012)","tt1345836",489648000,10
2001,"Harry Potter and the Sorcerer's Stone (2001)","tt0241527",488799000,42
2001,"The Lord of the Rings: The Fellowship of the Ring (2001)","tt0120737",482650000,44
1964,"Goldfinger (1964)","tt0058150",478032000,1409
1976,"Rocky (1976)","tt0075148",477887000,468
1972,"The Poseidon Adventure (1972)","tt0069113",477476000,666
1996,"Twister (1996)","tt0117998",476335000,98
1975,"One Flew Over the Cuckoo's Nest (1975)","tt0073486",475317000,502
