"year","price","adjust"
2016,8.7,1
2015,8.43,1.03202847
2014,8.17,1.064871481
2013,8.13,1.070110701
2012,7.96,1.092964824
2011,7.93,1.097099622
2010,7.89,1.102661597
2009,7.5,1.16
2008,7.18,1.211699164
2007,6.88,1.264534884
2006,6.55,1.328244275
2005,6.41,1.35725429
2004,6.21,1.400966184
2003,6.03,1.44278607
2002,5.81,1.497418244
2001,5.66,1.537102473
2000,5.39,1.614100186
1999,5.08,1.712598425
1998,4.69,1.855010661
1997,4.59,1.895424837
1996,4.42,1.968325792
1995,4.35,2
1994,4.18,2.081339713
1993,4.14,2.101449275
1992,4.15,2.096385542
1991,4.21,2.066508314
1990,4.23,2.056737589
1989,3.97,2.191435768
1988,4.11,2.116788321
1987,3.91,2.225063939
1986,3.71,2.345013477
1985,3.55,2.450704225
1984,3.36,2.589285714
1983,3.15,2.761904762
1982,2.94,2.959183673
1981,2.78,3.129496403
1980,2.69,3.234200743
1979,2.51,3.466135458
1978,2.34,3.717948718
1977,2.23,3.901345291
1976,2.13,4.084507042
1975,2.05,4.243902439
1974,1.87,4.652406417
1973,1.77,4.915254237
1972,1.7,5.117647059
1971,1.65,5.272727273
1970,1.55,5.612903226
1969,1.42,6.126760563
1968,1.31,6.641221374
1967,1.2,7.25
1966,1.09,7.981651376
1965,1.01,8.613861386
1964,0.93,9.35483871
1963,0.85,10.23529412
1962,0.7,12.42857143
1961,0.69,12.60869565
1960,0.51,17.05882353
1959,0.51,17.05882353
1958,0.5,17.4
1957,0.5,17.4
1956,0.5,17.4
1955,0.5,17.4
1954,0.45,19.33333333
1953,0.6,14.5
1952,0.53,16.41509434
1951,0.53,16.41509434
1950,0.46,18.91304348
1949,0.46,18.91304348
1948,0.4,21.75
1947,0.35,24.85714286
1946,0.35,24.85714286
1945,0.35,24.85714286
1944,0.32,27.1875
1943,0.29,30
1942,0.27,32.22222222
1941,0.25,34.8
1940,0.24,36.25
1939,0.23,37.82608696
1938,0.25,34.8
1937,0.25,34.8
1936,0.25,34.8
1935,0.24,36.25
1934,0.23,37.82608696
1933,0.35,24.85714286
1932,0.35,24.85714286
1931,0.35,24.85714286
1930,0.35,24.85714286
1929,0.35,24.85714286
1924,0.25,34.8
1910,0.07,124.2857143
1,"10 things i hate about you","Cornell"
2,"1492: conquest of paradise","Cornell"
3,"15 minutes","Cornell"
4,"2001: a space odyssey","Cornell"
5,"48 hrs.","Cornell"
6,"the fifth element","Cornell"
7,"8mm","Cornell"
8,"a nightmare on elm street 4: the dream master","Cornell"
9,"a nightmare on elm street: the dream child","Cornell"
10,"the atomic submarine","Cornell"
11,"affliction","Cornell"
12,"air force one","Cornell"
13,"airplane ii: the sequel","Cornell"
14,"airplane!","Cornell"
15,"alien nation","Cornell"
16,"aliens","Cornell"
17,"amadeus","Cornell"
18,"an american werewolf in london","Cornell"
19,"american madness","Cornell"
20,"american outlaws","Cornell"
21,"american psycho","Cornell"
22,"antitrust","Cornell"
23,"austin powers: international man of mystery","Cornell"
24,"the avengers","Cornell"
25,"bachelor party","Cornell"
26,"backdraft","Cornell"
27,"bad lieutenant","Cornell"
28,"bamboozled","Cornell"
29,"barry lyndon","Cornell"
30,"basic","Cornell"
31,"big fish","Cornell"
32,"birthday girl","Cornell"
33,"black snake moan","Cornell"
34,"black rain","Cornell"
35,"blade runner","Cornell"
36,"blast from the past","Cornell"
37,"blue velvet","Cornell"
38,"the boondock saints","Cornell"
39,"bottle rocket","Cornell"
40,"the bourne supremacy","Cornell"
41,"braveheart","Cornell"
42,"the butterfly effect","Cornell"
43,"casablanca","Cornell"
44,"cast away","Cornell"
45,"the cider house rules","Cornell"
46,"confidence","Cornell"
47,"croupier","Cornell"
48,"dark star","Cornell"
49,"dark angel","Cornell"
50,"detroit rock city","Cornell"
51,"donnie darko","Cornell"
52,"drop dead gorgeous","Cornell"
53,"duck soup","Cornell"
54,"the elephant man","Cornell"
55,"erik the viking","Cornell"
56,"eternal sunshine of the spotless mind","Cornell"
57,"even cowgirls get the blues","Cornell"
58,"event horizon","Cornell"
59,"fantastic four","Cornell"
60,"fast times at ridgemont high","Cornell"
61,"fear and loathing in las vegas","Cornell"
62,"feast","Cornell"
63,"frances","Cornell"
64,"frankenstein","Cornell"
65,"friday the 13th","Cornell"
66,"from dusk till dawn","Cornell"
67,"g.i. jane","Cornell"
68,"godzilla","Cornell"
69,"galaxy quest","Cornell"
70,"george washington","Cornell"
71,"get shorty","Cornell"
72,"ghost ship","Cornell"
73,"ghost world","Cornell"
74,"the ghost and the darkness","Cornell"
75,"ghostbusters ii","Cornell"
76,"ghostbusters","Cornell"
77,"gladiator","Cornell"
78,"the graduate","Cornell"
79,"grand hotel","Cornell"
80,"the grifters","Cornell"
81,"halloween h20: 20 years later","Cornell"
82,"halloween: the curse of michael myers","Cornell"
83,"happy birthday, wanda june","Cornell"
84,"hardcore","Cornell"
85,"harold and maude","Cornell"
86,"hellbound: hellraiser ii","Cornell"
87,"hellboy","Cornell"
88,"hellraiser","Cornell"
89,"high fidelity","Cornell"
90,"highlander","Cornell"
91,"his girl friday","Cornell"
92,"hope and glory","Cornell"
93,"house of 1000 corpses","Cornell"
94,"human nature","Cornell"
95,"the hustler","Cornell"
96,"i am legend","Cornell"
97,"invaders from mars","Cornell"
98,"independence day","Cornell"
99,"indiana jones and the last crusade","Cornell"
100,"indiana jones and the temple of doom","Cornell"
101,"innerspace","Cornell"
102,"the insider","Cornell"
103,"intolerable cruelty","Cornell"
104,"it happened one night","Cornell"
105,"jfk","Cornell"
106,"jackie brown","Cornell"
107,"jacob's ladder","Cornell"
108,"jason x","Cornell"
109,"jaws","Cornell"
110,"juno","Cornell"
111,"kalifornia","Cornell"
112,"kids","Cornell"
113,"knight moves","Cornell"
114,"krull","Cornell"
115,"l?on","Cornell"
116,"labor of love","Cornell"
117,"leaving las vegas","Cornell"
118,"legally blonde","Cornell"
119,"legend","Cornell"
120,"life as a house","Cornell"
121,"the life of david gale","Cornell"
122,"little nicky","Cornell"
123,"logan's run","Cornell"
124,"lost highway","Cornell"
125,"lost horizon","Cornell"
126,"men in black","Cornell"
127,"minority report","Cornell"
128,"made","Cornell"
129,"malcolm x","Cornell"
130,"man on fire","Cornell"
131,"marty","Cornell"
132,"mash","Cornell"
133,"meet john doe","Cornell"
134,"metro","Cornell"
135,"metropolis","Cornell"
136,"mighty morphin power rangers","Cornell"
137,"mobsters","Cornell"
138,"monkeybone","Cornell"
139,"my mother dreams the satan's disciples in new york","Cornell"
140,"mr. smith goes to washington","Cornell"
